,bitcoin,ethereum,tether
2020-01-09 03:07:38.200,36178596731.168465,,
2020-01-09 03:35:02.332,,,37302846020.521194
2020-01-09 04:05:18.742,35726867960.25616,,
2020-01-09 04:05:19.468,,8454291239.300549,
2020-01-09 04:34:50.413,,,37097422473.54222
2020-01-09 05:02:36.171,35826004047.212074,,
2020-01-09 05:04:10.616,,8641799072.031765,
2020-01-09 05:44:46.907,,,36797232117.43381
2020-01-09 06:02:38.810,34117763527.788986,,
2020-01-09 06:03:59.200,,8865988301.820343,
2020-01-09 06:32:18.735,,,36939046864.8044
2020-01-09 07:12:21.873,34869737197.861305,,
2020-01-09 07:12:24.976,,8976713708.2542,
2020-01-09 07:38:58.418,,,36373762370.15498
2020-01-09 08:10:26.649,35023604512.676605,,
2020-01-09 08:10:35.153,,8561311774.617648,
2020-01-09 08:35:03.387,,,36320162900.63661
2020-01-09 09:02:43.694,,7891814300.51333,
2020-01-09 09:05:41.567,34922392684.658455,,
2020-01-09 09:32:28.341,,,36683875083.25015
2020-01-09 10:04:40.228,,8300490885.700514,
2020-01-09 10:05:33.989,35148803097.27452,,
2020-01-09 10:29:52.892,,,36875887007.80379
2020-01-09 11:02:52.830,32597273346.78378,,
2020-01-09 11:09:46.093,,8959652983.57688,
2020-01-09 11:25:47.201,,,37155773616.03691
2020-01-09 12:09:48.389,35318102959.224434,,
2020-01-09 12:09:49.667,,8556207635.610563,
2020-01-09 12:42:21.643,,,37440363325.45063
2020-01-09 13:04:30.560,,8649728688.434044,
2020-01-09 13:09:51.695,35143332677.077255,,
2020-01-09 13:30:25.266,,,36991445211.66686
2020-01-09 14:04:16.818,34650641983.428535,,
2020-01-09 14:05:17.410,,8759207580.982729,
2020-01-09 14:25:44.207,,,35837965687.33145
2020-01-09 15:09:27.639,,8734003878.706427,
2020-01-09 15:09:47.042,32000034763.130806,,
2020-01-09 15:44:11.270,,,35022016669.91037
